positive_sample_id,negative_sample_id,matching_distance,diff_luminance_mean,diff_Lab_a_mean,diff_Lab_b_mean,diff_ROI_short_side,diff_ROI_aspect_ratio,diff_foreground_ratio,diff_original_pixel_count,diff_blur_laplacian
stained_coating::中医舌诊染苔数据/染苔/1000_台式梅肉.JPG,stained_coating::中医舌诊染苔数据/非染苔/13.JPG,1.2095046262387026,-0.6846967584934093,0.1721762887903039,0.8913878751632761,0.18602581618678016,0.16595742500085187,-0.17932161995064266,-0.009072588022483563,0.2747521518673145
stained_coating::中医舌诊染苔数据/染苔/1001_台式梅肉.JPG,stained_coating::中医舌诊染苔数据/非染苔/264.JPG,1.1220119661453394,-0.6025271975367037,0.4406147141801979,-0.09551853469729821,-0.41680972348616907,0.6809847661519886,-0.08155659686172834,-0.10786346712762562,0.19196382008838492
stained_coating::中医舌诊染苔数据/染苔/100_好丽友派.JPG,stained_coating::中医舌诊染苔数据/非染苔/285.JPG,0.4052584014553444,0.08685397794248662,-0.05509828806673456,0.15215977685647497,0.06294106562710605,0.08588429607566173,0.3134684402564176,-0.12256257621768646,-0.07668507836740479
stained_coating::中医舌诊染苔数据/染苔/102_巧克力.JPG,stained_coating::中医舌诊染苔数据/非染苔/304.JPG,0.5864997157096813,0.29502940923401993,0.0768037384819632,0.38747031806573046,0.07413058840525824,0.13964413669319586,0.19135815549134172,-0.13968225091301917,0.14065062617892654
stained_coating::中医舌诊染苔数据/染苔/103_蒙牛酸奶.JPG,stained_coating::中医舌诊染苔数据/非染苔/307.JPG,0.3198942758767709,0.12481862614196926,0.10021257409994588,0.1299061815118237,-0.011189522778152189,-0.025638499158753825,-0.09376137687044628,-0.13641585548690122,-0.17790857996188297
stained_coating::中医舌诊染苔数据/染苔/105_蓝莓果酱.JPG,stained_coating::中医舌诊染苔数据/非染苔/601.JPG,1.3962385316616317,-0.5520365745869258,0.5950509201727388,-0.6875916852450765,-0.7161294578017401,0.23136189411331487,0.3224044404121069,-0.27251522534511113,0.27072280431636986
stained_coating::中医舌诊染苔数据/染苔/107_蓝莓酱.JPG,stained_coating::中医舌诊染苔数据/非染苔/912.JPG,0.6498159009777613,-0.3169890786566927,0.007009232571196122,-0.23041894792746764,0.49373769258596534,-0.07257913241537978,-0.011330517245811134,0.13396550946309616,0.038946506667936476
stained_coating::中医舌诊染苔数据/染苔/108_橙子糖.JPG,stained_coating::中医舌诊染苔数据/非染苔/318.JPG,0.6717836387181365,-0.028263883248007604,-0.05945299716086749,0.2569706722949158,-0.4573717435569707,0.2228358965784294,0.1984150321503373,-0.21852013971013845,0.18697994494490033
stained_coating::中医舌诊染苔数据/染苔/109_芒果.JPG,stained_coating::中医舌诊染苔数据/非染苔/265.JPG,1.279875811209243,-0.09590455961891708,0.824735356494565,0.5030584947865291,-0.2769406887592667,-0.6064926618644081,0.12726477566116356,-0.2947536155211522,0.3847371039567202
stained_coating::中医舌诊染苔数据/染苔/10_苏卡咖啡.JPG,stained_coating::中医舌诊染苔数据/非染苔/901.JPG,1.2672757766394636,-0.5079207478630198,0.4783148258119948,-0.20612175094706542,0.4559730532097017,-0.44103156033395463,-0.27906363194004774,0.0617421703056249,0.7698209469823383
stained_coating::中医舌诊染苔数据/染苔/110_芒果.JPG,stained_coating::中医舌诊染苔数据/非染苔/260.JPG,1.3685907524029588,0.5231152128608749,-0.14616127737911833,-0.06384130476940975,1.0951745419116454,0.23563303417215142,0.519781436252784,0.18637135372232816,0.11880683242476181
stained_coating::中医舌诊染苔数据/染苔/111_巧克力.JPG,stained_coating::中医舌诊染苔数据/非染苔/313.JPG,0.8494198603083045,-0.47191819516250577,0.469794049581971,0.10915082251155399,0.1804310547977041,-0.08183927025005788,0.33387162046567187,-0.08793025717139596,0.32822544738958115
stained_coating::中医舌诊染苔数据/染苔/112_巧克力.JPG,stained_coating::中医舌诊染苔数据/非染苔/275.JPG,1.2010675139065672,-0.24821652324493315,0.5273664710813719,0.6203934714292304,-0.09371225326702456,0.6022201075168108,-0.2547928559738828,-0.1213850958317742,0.5165689606255004
stained_coating::中医舌诊染苔数据/染苔/114_芒果.JPG,stained_coating::中医舌诊染苔数据/非染苔/274.JPG,1.3358743258727865,0.43520698439821726,0.3488214497774616,1.152824852373648,0.33009092195548956,-0.03893788702538736,-0.03199553638893937,-0.028113594221996274,0.17939700903188627
stained_coating::中医舌诊染苔数据/染苔/115_芒果.JPG,stained_coating::中医舌诊染苔数据/非染苔/1006.JPG,0.46915591733568035,0.06628917719164762,0.012250591771833463,0.055911976906145355,0.2741433080647286,0.13498678388918428,0.10623181929052061,0.058102915248205045,0.3231093626413396
stained_coating::中医舌诊染苔数据/染苔/116_巧克力.JPG,stained_coating::中医舌诊染苔数据/非染苔/750.JPG,1.1097823826265307,-0.7220220012038963,-0.13208380462715108,-0.12669048058118548,0.012588213125421188,0.1563553349877086,0.5225150483223892,-0.09927593728744871,0.6077182043633425
stained_coating::中医舌诊染苔数据/染苔/117_巧克力.JPG,stained_coating::中医舌诊染苔数据/非染苔/331.JPG,1.2604879235553954,-0.7064048251986387,-0.3818556354932652,-0.9249673296948182,-0.001398690347269027,0.13654215241484646,-0.03462561294634903,-0.14835022085048838,0.2158501892176128
stained_coating::中医舌诊染苔数据/染苔/118_彩虹糖.JPG,stained_coating::中医舌诊染苔数据/非染苔/319.JPG,0.8684675360449816,0.00974846114014949,0.5323401040526956,0.3126762418911146,-0.4713586470296609,-0.1526915121284232,0.1465731530309523,-0.285100803846068,0.15725323683361483
